inelasticity,event_no
0.14156142437757313,3307408
0.3684316833533279,3307409
0.10091043733692495,3307410
0.12280898762613712,3307411
0.01663106509437773,3307412
0.13433696032257603,3307413
0.1960343668505683,3307414
0.12756533101598777,3307415
0.7541385674576614,3307416
0.12328684103879861,3307417
0.24537275649672352,3307418
0.2968298452565761,3307419
0.25699762169162677,3307420
0.2486336515720634,3307421
0.23090477936278442,3307422
0.6480183058984634,3307423
0.716261617426623,3307424
0.45541644812546733,3307425
0.04350035909467531,3307426
0.2746026263419836,3307427
1.0,3307428
0.061441651911002815,3307429
0.5429596285906004,3307430
0.836155132071105,3307431
0.09881351778688963,3307432
0.5725354703746743,3307433
0.5964585003998275,3307434
0.056954427898287974,3307435
0.19270940896115862,3307436
0.07096808929263065,3307437
0.15841822956847895,3307438
0.014644762371240572,3307439
1.0,3307440
0.2500086366200691,3307441
0.4036955627887,3307442
0.07954262002639434,3307443
0.19451370870355889,3307444
0.30282060445950476,3307445
0.6358845389418502,3307446
0.12158212029067583,3307447
0.6246600891537051,3307448
0.29706196691328735,3307449
0.2857388125128473,3307450
0.032665732377505696,3307451
0.3002397288677545,3307452
0.8768264553508409,3307453
0.03090473346589917,3307454
0.0393170894885112,3307455
0.46628251038164314,3307456
0.30677682582266286,3307457
0.10516959055252928,3307458
0.036371897893522576,3307459
0.07064888479885434,3307460
0.3199246955156304,3307461
0.08261920641953024,3307462
0.6168994634587498,3307463
0.31168766771759693,3307464
0.8693949496229737,3307465
0.5166937417372437,3307466
0.13913154530983596,3307467
0.16030536130900974,3307468
0.025261138072112832,3307469
0.3698590570858016,3307470
0.06426651331264444,3307471
0.21146616971207333,3307472
0.2881406062641805,3307473
0.1450212828480345,3307474
0.3690572474108913,3307475
0.13813200192907982,3307476
0.1582426104798994,3307477
0.01868438150525109,3307478
0.3220892960549473,3307479
0.18546663128883167,3307480
1.0,3307481
0.12809693839039804,3307482
0.24254372681760683,3307483
0.3878623472397964,3307484
0.28731818706512224,3307485
0.44754558891822593,3307486
0.03618612210106942,3307487
0.18998080109946203,3307488
0.4305759475289669,3307489
0.3530632011092989,3307490
0.028842195790846348,3307491
1.0,3307492
0.1469917630340668,3307493
0.36894259374432603,3307494
0.010186737468478979,3307495
1.0,3307496
0.32051369040727107,3307497
0.2038853693035182,3307498
0.16357893766734588,3307499
0.12129610888984976,3307500
0.8210347606297936,3307501
0.04163582709829228,3307502
0.22758257077023436,3307503
0.26480838138066887,3307504
0.32878748114271417,3307505
0.048128659452569056,3307506
0.24880018235035206,3307507
0.03264538366297309,3307508
0.16684062786238207,3307509
