CascadeFilter_13,DeepCoreFilter_13,EventID,L3_oscNext_bool,L4_oscNext_bool,L5_oscNext_bool,L6_oscNext_bool,L7_oscNext_bool,MuonFilter_13,OnlineL2Filter_17,RunID,SubEventID,SubrunID,azimuth,dbang_decay_length,elasticity,energy,energy_cascade,energy_track,event_no,event_time,inelasticity,interaction_type,pid,position_x,position_y,position_z,sim_type,stopped_muon,track_length,zenith
0.0,1.0,156.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,0.119219221905139,-1.0,-1.0,3.28382924856046,0.758251868103911,2.52557738045655,3307422,1.08790874074374e+17,0.230904779362784,1.0,-14.0,87.2497134538331,26.4756828258078,-371.548667164908,genie,-1.0,-1.0,2.27245115254209
0.0,1.0,184.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,0.386205854375754,-1.0,-1.0,4.4805681389807,2.90349017488491,1.5770779640958,3307423,1.08790874074372e+17,0.648018305898463,1.0,14.0,59.5001239401118,29.1095692287345,-247.494552700601,genie,-1.0,-1.0,2.09212225230179
0.0,1.0,210.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,0.909484423051389,-1.0,-1.0,4.60057123766755,3.29521259577816,1.30535864188939,3307424,1.08790874074372e+17,0.716261617426623,1.0,14.0,109.666528181326,35.210031712881,-320.300267187968,genie,-1.0,-1.0,1.56100999052313
0.0,1.0,212.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,2.36852286112735,-1.0,-1.0,4.56707141607282,2.07991944264323,2.48715197342959,3307425,1.08790874074373e+17,0.455416448125467,1.0,14.0,35.8491320117094,-38.6222052181864,-391.220136115446,genie,-1.0,-1.0,1.62321836193524
0.0,1.0,218.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,3.19935698669214,-1.0,-1.0,2.20748183429065,0.0960262524866158,2.11145558180403,3307426,1.08790874074373e+17,0.0435003590946753,1.0,14.0,-39.6763564829611,-82.6589531271679,-340.534553739596,genie,-1.0,-1.0,1.66034124891576
0.0,1.0,234.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,4.93207682094821,-1.0,-1.0,3.74738265446471,1.0290411188244,2.71834153564031,3307427,1.08790874074373e+17,0.274602626341984,1.0,14.0,79.2185126663154,-98.5609814044787,-448.074903015913,genie,-1.0,-1.0,2.45824031267401
0.0,1.0,252.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,1.13751782025483,-1.0,-1.0,2.7975535528232,2.7975535528232,0.0,3307428,1.08790874074372e+17,1.0,2.0,14.0,118.093033784164,39.8077329916829,-491.331458837908,genie,-1.0,-1.0,2.45033192238865
0.0,1.0,254.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,4.11439747857866,-1.0,-1.0,4.92519091088959,0.302611865542113,4.62257904534748,3307429,1.08790874074373e+17,0.0614416519110028,1.0,14.0,81.0304527223813,-92.482766772659,-301.349094323047,genie,-1.0,-1.0,1.39932305042027
0.0,1.0,256.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,1.398433958585,-1.0,-1.0,4.9037909490442,2.66256051237899,2.24123043666521,3307430,1.08790874074372e+17,0.542959628590601,1.0,14.0,49.63940491601,51.1582429980176,-261.438350693594,genie,-1.0,-1.0,1.30461100805235
0.0,1.0,260.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,2.7589687739554,-1.0,-1.0,4.88729092145647,4.08653338590035,0.800757535556123,3307431,1.08790874074372e+17,0.836155132071105,1.0,14.0,-24.5115580989982,11.89557558567,-333.452371400011,genie,-1.0,-1.0,1.66018853170382
0.0,1.0,262.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,4.0677095774516,-1.0,-1.0,2.96228407692463,0.292713710325012,2.66957036659962,3307432,1.08790874074372e+17,0.0988135177868896,1.0,-14.0,-39.9120375547189,43.9390631462361,-239.166686374355,genie,-1.0,-1.0,0.80845998863589
0.0,1.0,282.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,2.84116828438638,-1.0,-1.0,4.77491729417844,2.73380951902262,2.04110777515582,3307433,1.08790874074373e+17,0.572535470374674,1.0,-14.0,51.5452941781212,-43.8264101134061,-252.020795227051,genie,-1.0,-1.0,2.19904584988041
0.0,1.0,286.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,3.8106476694256,-1.0,-1.0,2.09829873583244,1.25154811736547,0.84675061846697,3307434,1.08790874074372e+17,0.596458500399828,1.0,-14.0,-21.0574135346937,-90.21392822108,-356.154782773072,genie,-1.0,-1.0,1.20750848256684
1.0,1.0,294.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,141122.0,0.0,0.0,6.28106148700282,-1.0,-1.0,3.02115418674741,0.172068108298716,2.84908607844869,3307435,1.08790874074372e+17,0.056954427898288,1.0,-14.0,83.9554471857494,-112.513308706259,-372.316179744127,genie,-1.0,-1.0,1.84600946264819
0.0,1.0,296.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,1.23102906092763,-1.0,-1.0,2.91191529344518,0.56115347514478,2.3507618183004,3307436,1.08790874074372e+17,0.192709408961159,1.0,-14.0,77.6082592090749,-60.3074870631677,-431.310578979263,genie,-1.0,-1.0,2.34159838724419
0.0,1.0,300.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,2.35662660002318,-1.0,-1.0,4.4053469574621,0.312639056242189,4.09270790121991,3307437,1.08790874074374e+17,0.0709680892926307,1.0,14.0,-9.54285555903561,44.3137917657769,-430.13006364957,genie,-1.0,-1.0,0.868476387307859
0.0,1.0,324.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,5.89614648853669,-1.0,-1.0,4.43810496135041,0.703076730616214,3.73502823073419,3307438,1.08790874074372e+17,0.158418229568479,1.0,14.0,77.0347735145906,-115.766304569561,-246.628463381958,genie,-1.0,-1.0,2.24511527917377
0.0,1.0,326.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,4.72318316426036,-1.0,-1.0,2.08332256545678,0.0305097639137579,2.05281280154303,3307439,1.08790874074372e+17,0.0146447623712406,1.0,-14.0,107.063169595286,16.2411192620655,-340.229741967592,genie,-1.0,-1.0,2.02943648167708
0.0,1.0,328.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,5.52814005376297,-1.0,-1.0,3.73744785505244,3.73744785505244,0.0,3307440,1.08790874074372e+17,1.0,2.0,14.0,89.2154562442889,-66.1960305528098,-315.392545399014,genie,-1.0,-1.0,2.74557664092596
0.0,1.0,346.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,141122.0,0.0,0.0,3.23069646042701,-1.0,-1.0,4.58710816369518,1.14681665803422,3.44029150566096,3307441,1.08790874074373e+17,0.250008636620069,1.0,14.0,-27.7981995068391,-110.279494755363,-374.058830228027,genie,-1.0,-1.0,2.29560868470351
